Plot,Timestamp,Value,Sapflow_ID,Logger,Port,Species,Out_Of_Plot,BattV_Avg,Grid_Square
Control,2026-06-01T07:15:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T07:30:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T07:30:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T07:30:00Z,1.065,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T07:30:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T07:30:00Z,0.478,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T07:30:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T07:45:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T07:45:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T07:45:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T07:45:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T07:45:00Z,0.478,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T07:45:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T08:00:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T08:00:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T08:00:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T08:00:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T08:00:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T08:00:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T08:15:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T08:15:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T08:15:00Z,1.065,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T08:15:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T08:15:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T08:15:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T08:30:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T08:30:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T08:30:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T08:30:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T08:30:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T08:30:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T08:45:00Z,0.753,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T08:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T08:45:00Z,1.064,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T08:45:00Z,0.551,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T08:45:00Z,0.479,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T08:45:00Z,0.431,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T09:00:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T09:00:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T09:00:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T09:00:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T09:00:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T09:00:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T09:15:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T09:15:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T09:15:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T09:15:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T09:15:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T09:15:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T09:30:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T09:30:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T09:30:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T09:30:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T09:30:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T09:30:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T09:45:00Z,0.753,C7,11,1,ACRU,FALSE,13.65,B3
Control,2026-06-01T09:45:00Z,NA,C19,11,2,ACRU,FALSE,13.65,A1
Control,2026-06-01T09:45:00Z,1.064,C10,11,3,ACRU,FALSE,13.65,D4
Control,2026-06-01T09:45:00Z,0.551,C11,11,4,ACRU,FALSE,13.65,F2
Control,2026-06-01T09:45:00Z,0.479,C16,11,5,FAGR,FALSE,13.65,E4
Control,2026-06-01T09:45:00Z,0.431,C18,11,6,FAGR,TRUE,13.65,G1
Control,2026-06-01T10:00:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T10:00:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T10:00:00Z,1.064,C10,11,3,ACRU,FALSE,13.66,D4
Control,2026-06-01T10:00:00Z,0.551,C11,11,4,ACRU,FALSE,13.66,F2
Control,2026-06-01T10:00:00Z,0.479,C16,11,5,FAGR,FALSE,13.66,E4
Control,2026-06-01T10:00:00Z,0.431,C18,11,6,FAGR,TRUE,13.66,G1
Control,2026-06-01T10:15:00Z,0.753,C7,11,1,ACRU,FALSE,13.66,B3
Control,2026-06-01T10:15:00Z,NA,C19,11,2,ACRU,FALSE,13.66,A1
Control,2026-06-01T10:15:00Z,1.065,C10,11,3,ACRU,FALSE,13.66,D4
